# Groups associated with records, within table '/Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt'
# Based on groups table '/Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt'
# Generated on: 2026.01.07 18:10:38
# Used command:
#   /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/collapse_table.py -i /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt -o /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/func_table.tsv -g /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt -d taxonomy -c '#' -v --out_groups2records_table /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output.txt --out_groups2records_table_dense /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output_long.txt
#
# Summary:
#   Loaded 92 groups comprising 8355 members (5060 unique members)
#   Established 6905 assignments of records to groups
#   15660 out of 19274 records could not be assigned to any group (leftovers)
#   Number of groups represented: 44
#
record	group
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_2365"	
"Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,OTU_1561"	
"Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,OTU_3098"	aerobic_chemoheterotrophy,aromatic_compound_degradation,chemoheterotrophy
"Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,OTU_3385"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA,OTU_9809"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_583"	chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,OTU_1472"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,OTU_633"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,OTU_1576"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Bauldia,OTU_1687"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_1005"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,OTU_7255"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517,OTU_333"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_7909"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_768"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,OTU_2969"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_451"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA,OTU_9633"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_2281"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,OTU_8257"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_375"	
"Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lechevalieria,OTU_2094"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,OTU_783"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,OTU_8009"	
"Bacteria,Myxococcota,Polyangia,mle1-27,NA,NA,OTU_4015"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,OTU_6268"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,OTU_5504"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_4123"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,BIyi10,OTU_4340"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,OTU_3202"	
"Bacteria,Proteobacteria,Gammaproteobacteria,R7C24,NA,NA,OTU_15677"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_1800"	chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,OTU_7418"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,OTU_102"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,OTU_2816"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_7772"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_756"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus,OTU_3514"	aerobic_chemoheterotrophy,iron_respiration,chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA,OTU_2379"	
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_12689"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_2875"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_1778"	
"Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA,OTU_8627"	
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_6362"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_378"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_778"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,NA,OTU_1026"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,OTU_3564"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_3786"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_3863"	chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_4759"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila,OTU_8188"	photoheterotrophy,phototrophy
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_6690"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_1891"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_3949"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,OTU_9609"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,OTU_6346"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,OTU_200"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_2127"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bacteroidota,Ignavibacteria,SJA-28,NA,NA,OTU_11401"	
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,NA,NA,OTU_6095"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,OTU_10973"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_13557"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,OTU_382"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,OTU_3503"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavitalea,OTU_1670"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,OTU_7661"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,OTU_11032"	
"Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,NA,NA,OTU_14210"	
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,OTU_4582"	aerobic_chemoheterotrophy,ureolysis,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_1573"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_935"	
"Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,OTU_7863"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,OTU_876"	chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,OTU_1947"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,OTU_1668"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_1572"	
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,OTU_3489"	
"Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,OTU_16042"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_676"	chemoheterotrophy
"Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,OTU_415"	
"Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,OTU_5015"	
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_1878"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,OTU_1772"	
"Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,OTU_6093"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_815"	
"Bacteria,NA,NA,NA,NA,NA,OTU_11160"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin118,OTU_14593"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,OTU_2445"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_5912"	
"Bacteria,Acidobacteriota,Subgroup 25,NA,NA,NA,OTU_10155"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,OTU_674"	chitinolysis,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,OTU_390"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_6258"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,OTU_2869"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,OTU_354"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_2268"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Nitrospirillum,OTU_12972"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_3732"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,OTU_3952"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,OTU_9251"	
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_610"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,OTU_1452"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,OTU_580"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,OTU_3017"	
"Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,OTU_3478"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,OTU_9084"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_648"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,OTU_1342"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,OTU_838"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_19729"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_3392"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_3195"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,NA,OTU_4344"	
"Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,OTU_1434"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,NA,NA,NA,OTU_3586"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA,OTU_6164"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_3516"	chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_1208"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,OTU_1129"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA,OTU_17813"	
"Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,OTU_1638"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,YC-ZSS-LKJ147,OTU_2757"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,OTU_12492"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,OTU_1932"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,OTU_3482"	
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,OTU_573"	manganese_oxidation
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,OTU_2788"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_7465"	
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,OTU_2440"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,OTU_13365"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,OTU_17358"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_6495"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,OTU_943"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,OTU_8319"	
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_7181"	predatory_or_exoparasitic
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_2672"	chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,NA,OTU_1909"	
"Bacteria,NA,NA,NA,NA,NA,OTU_12213"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_4661"	
"Bacteria,Planctomycetota,Pla4 lineage,NA,NA,NA,OTU_8168"	
"Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,NA,OTU_9921"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_6307"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,OTU_7352"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_2396"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,OTU_7061"	
"Bacteria,Planctomycetota,OM190,NA,NA,NA,OTU_17076"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,OTU_2508"	nitrate_denitrification,nitrite_denitrification,denitrification,nitrite_respiration,aerobic_chemoheterotrophy,nitrate_respiration,nitrate_reduction,nitrogen_respiration,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,photoautotrophy,photoheterotrophy,phototrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Virgisporangium,OTU_267"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_1363"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,OTU_11677"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,OTU_4042"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_3818"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_2519"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,OTU_1744"	fermentation,aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,OTU_8264"	
"Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA,OTU_12025"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_4133"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,OTU_958"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,OTU_4170"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,OTU_5887"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_2295"	chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,OTU_2398"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_4674"	
"Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,OTU_3335"	fermentation,aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,NA,NA,OTU_10738"	
"Bacteria,NA,NA,NA,NA,NA,OTU_7692"	
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,FFCH9454,NA,OTU_20605"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_663"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Aetherobacter,OTU_593"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,OTU_9593"	dark_oxidation_of_sulfur_compounds,aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,OTU_3402"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_3271"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,OTU_6130"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_19727"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,OTU_3973"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,OTU_617"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_4141"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,OTU_3641"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_4400"	chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,OTU_7768"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,OTU_577"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA,OTU_2489"	
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_2448"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas,OTU_5207"	
"Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA,OTU_1769"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,OTU_13884"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_2648"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_8632"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,OTU_272"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,OTU_5103"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_20013"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_20848"	
"Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,OTU_4643"	
"Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,OTU_6227"	
"Bacteria,NB1-j,NA,NA,NA,NA,OTU_14449"	
"Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,NA,NA,OTU_5380"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_522"	
"Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,NA,OTU_14433"	
"Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,OTU_11385"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_7392"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_661"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA,OTU_1518"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OTU_2192"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,OTU_19048"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,OTU_5446"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,OTU_387"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Firmicutes,Bacilli,NA,NA,NA,OTU_8886"	
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_1056"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_2768"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_628"	chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,DS-100,NA,NA,OTU_2250"	
"Bacteria,Elusimicrobiota,Lineage IIa,NA,NA,NA,OTU_4540"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_478"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,OTU_2814"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_804"	
"Bacteria,NA,NA,NA,NA,NA,OTU_14489"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,FFCH7168,OTU_17628"	
"Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,OTU_1486"	aerobic_chemoheterotrophy,aromatic_compound_degradation,chemoheterotrophy
"Bacteria,SAR324 clade(Marine group B),NA,NA,NA,NA,OTU_9981"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA,OTU_6936"	
